Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-20T00:00+02:00;2022-05-21T00:00+02:00;2022-05-20;Totalt i retning Nova;75;100,0;24;24;0;75;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-20T00:00+02:00;2022-05-21T00:00+02:00;2022-05-20;Totalt i retning Pyramiden;94;100,0;24;24;0;94;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-20T00:00+02:00;2022-05-21T00:00+02:00;2022-05-20;Totalt;169;100,0;24;24;0;169;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-21T00:00+02:00;2022-05-22T00:00+02:00;2022-05-21;1;57;100,0;24;24;0;57;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-21T00:00+02:00;2022-05-22T00:00+02:00;2022-05-21;2;55;100,0;24;24;0;55;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-21T00:00+02:00;2022-05-22T00:00+02:00;2022-05-21;Totalt i retning Nova;55;100,0;24;24;0;55;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-21T00:00+02:00;2022-05-22T00:00+02:00;2022-05-21;Totalt i retning Pyramiden;57;100,0;24;24;0;57;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-21T00:00+02:00;2022-05-22T00:00+02:00;2022-05-21;Totalt;112;100,0;24;24;0;112;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-22T00:00+02:00;2022-05-23T00:00+02:00;2022-05-22;1;55;100,0;24;24;0;55;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-22T00:00+02:00;2022-05-23T00:00+02:00;2022-05-22;2;35;100,0;24;24;0;35;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-22T00:00+02:00;2022-05-23T00:00+02:00;2022-05-22;Totalt i retning Nova;35;100,0;24;24;0;35;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-22T00:00+02:00;2022-05-23T00:00+02:00;2022-05-22;Totalt i retning Pyramiden;55;100,0;24;24;0;55;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-22T00:00+02:00;2022-05-23T00:00+02:00;2022-05-22;Totalt;90;100,0;24;24;0;90;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-23T00:00+02:00;2022-05-24T00:00+02:00;2022-05-23;1;134;100,0;24;24;0;134;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-05-23T00:00+02:00;2022-05-24T00:00+02:00;2022-05-23;2;90;100,0;24;24;0;90;0,00;-;-;-;-;-;-;-;-
